Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Quarter
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103.0,218.0,22454.0,1257.0,Online,2021,6,2
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103.0,163.0,16789.0,806.0,Online,2021,7,3
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700.0,7000.0,3150.0,Outlet,2021,8,3
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575.0,8625.0,3881.0,Outlet,2021,8,3
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475.0,7125.0,3206.0,Outlet,2021,8,3
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475.0,7125.0,2494.0,In-store,2021,1,1
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450.0,9000.0,3150.0,Online,2021,11,4
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15.0,450.0,6750.0,2700.0,Online,2021,1,1
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450.0,9000.0,2700.0,In-store,2021,4,2
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44.0,434.0,19096.0,993.0,Outlet,2020,3,1
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425.0,8500.0,2975.0,In-store,2021,1,1
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425.0,6375.0,2231.0,In-store,2021,2,1
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425.0,8500.0,2975.0,In-store,2021,6,2
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425.0,8500.0,3400.0,Online,2021,4,2
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,425.0,6375.0,2550.0,Online,2021,3,1
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20.0,425.0,8500.0,3400.0,Online,2021,9,3
Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20.0,425.0,8500.0,3400.0,Online,2021,2,1
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425.0,8500.0,2975.0,Online,2021,10,4
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48.0,420.0,20160.0,1129.0,Outlet,2020,5,2
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408.0,15912.0,875.0,Outlet,2020,4,2
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403.0,18538.0,1038.0,Outlet,2020,4,2
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400.0,8000.0,2800.0,In-store,2021,3,1
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400.0,8000.0,3200.0,In-store,2021,6,2
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400.0,8000.0,2800.0,In-store,2021,10,4
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400.0,8000.0,2800.0,In-store,2021,11,4
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400.0,8000.0,3200.0,Online,2021,9,3
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15.0,400.0,6000.0,2400.0,Online,2021,2,1
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47.0,400.0,18800.0,978.0,Outlet,2020,3,1
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40.0,390.0,15600.0,811.0,Outlet,2020,1,1
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388.0,12804.0,666.0,Outlet,2020,1,1
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384.0,13056.0,679.0,Outlet,2020,1,1
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376.0,11656.0,559.0,Outlet,2021,2,1
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375.0,7500.0,4125.0,Outlet,2021,8,3
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375.0,7500.0,2625.0,In-store,2021,2,1
West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375.0,7500.0,3000.0,In-store,2021,8,3
