Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,$103.00 ,218,"22,454.00","$1,257 ",Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,$103.00 ,163,"16,789.00",$806 ,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,$10.00 ,700,"7,000","$3,150 ",Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,575,"8,625","$3,881 ",Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,475,"7,125","$3,206 ",Outlet
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,475,"7,125","$2,494 ",In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$20.00 ,450,"9,000","$3,150 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,450,"6,750","$2,700 ",Online
West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$20.00 ,450,"9,000","$2,700 ",In-store
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,434,"19,096.00",$993 ,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store
West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,425,"6,375","$2,231 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$20.00 ,425,"8,500","$3,400 ",Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,425,"6,375","$2,550 ",Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$20.00 ,425,"8,500","$3,400 ",Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,$20.00 ,425,"8,500","$3,400 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,425,"8,500","$2,975 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$48.00 ,420,"20,160.00","$1,129 ",Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$39.00 ,408,"15,912.00",$875 ,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,403,"18,538.00","$1,038 ",Outlet
West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,400,"8,000","$2,800 ",In-store
West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,400,"8,000","$3,200 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"8,000","$2,800 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"8,000","$2,800 ",In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,400,"8,000","$3,200 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,400,"6,000","$2,400 ",Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,400,"18,800.00",$978 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$40.00 ,390,"15,600.00",$811 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,388,"12,804.00",$666 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$34.00 ,384,"13,056.00",$679 ,Outlet
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$31.00 ,376,"11,656.00",$559 ,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,$20.00 ,375,"7,500","$4,125 ",Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,375,"7,500","$2,625 ",In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"7,500","$3,000 ",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"7,500","$3,000 ",In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,375,"5,625","$2,250 ",Online
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$15.00 ,375,"5,625","$1,969 ",Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,375,"5,625","$2,250 ",Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$41.00 ,375,"15,375.00",$800 ,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"10,846.00",$445 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"10,846.00",$445 ,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,372,"12,276.00",$663 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,366,"16,104.00",$837 ,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$56.00 ,360,"20,160.00","$1,250 ",Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,359,"13,283.00",$452 ,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,355,"17,040.00",$511 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,354,"16,284.00","$1,026 ",Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$47.00 ,352,"16,544.00",$447 ,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$25.00 ,350,"8,750","$3,063 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$10.00 ,350,"3,500","$1,225 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$10.00 ,350,"3,500","$1,400 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,$25.00 ,350,"8,750","$3,500 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,350,"5,250","$2,100 ",Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$20.00 ,350,"7,000","$2,800 ",Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$20.00 ,350,"7,000","$2,450 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,350,"5,250","$1,838 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$25.00 ,350,"8,750","$3,063 ",Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,$25.00 ,350,"8,750","$3,500 ",In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,350,"11,200.00",$414 ,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,350,"12,600.00",$365 ,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,350,"15,050.00",$497 ,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$45.00 ,350,"15,750.00",$473 ,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$38.00 ,350,"13,300.00",$758 ,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$26.00 ,349,"9,074.00",$426 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$46.00 ,347,"15,962.00",$511 ,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,345,"6,900","$2,415 ",In-store
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,341,"13,981.00",$601 ,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,340,"13,940.00",$474 ,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,340,"16,320.00",$490 ,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,338,"13,858.00",$527 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,336,"15,792.00",$963 ,Online
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,$39.00 ,333,"12,987.00",$351 ,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,$42.00 ,333,"13,986.00",$559 ,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$32.00 ,333,"10,656.00",$426 ,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$34.00 ,333,"11,322.00",$476 ,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,332,"15,272.00",$321 ,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,$35.00 ,332,"11,620.00",$546 ,Outlet
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,$38.00 ,330,"12,540.00",$401 ,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,330,"16,500.00",$462 ,Outlet
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$62.00 ,326,"20,212.00","$1,152 ",Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$20.00 ,325,"6,500","$2,600 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00 ,325,"8,125","$2,844 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$15.00 ,325,"4,875","$1,706 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$10.00 ,325,"3,250","$1,300 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,$20.00 ,325,"6,500","$2,275 ",In-store
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,325,"6,500","$2,275 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,$15.00 ,325,"4,875","$1,950 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,$25.00 ,325,"8,125","$2,844 ",Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,325,"4,875","$1,950 ",Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$20.00 ,325,"6,500","$2,275 ",Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,$20.00 ,325,"6,500","$2,275 ",Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,$20.00 ,325,"6,500","$2,600 ",In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$58.00 ,325,"18,850.00","$1,150 ",Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$40.00 ,324,"12,960.00",$518 ,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$63.00 ,323,"20,349.00","$1,140 ",Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,323,"10,336.00",$393 ,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,323,"11,628.00",$314 ,Outlet
